"post_id","post_code","post_name","post_sort","status","create_by","create_time","update_by","update_time","remark"
1,"admin","Administrator",1,"0","admin",12/2/2021 2:06:02 PM,"admin",8/15/2022 9:42:33 AM.660,""
4,"user","Nhân viên",2,"0","admin",12/2/2021 2:06:02 PM,"admin",12/3/2021 5:07:00 PM,""
