"job_id","job_name","job_group","invoke_target","cron_expression","misfire_policy","concurrent","status","create_by","create_time","update_by","update_time","remark"
5,"Tự động gửi lệnh cho robot","DEFAULT","sendRobotTask.executeTask()","0/10 * * * * ?","3","1","0","admin",7/3/2022 11:38:10 AM,"admin",9/8/2022 9:15:01 AM.047,""
6,"Health Check","DEFAULT","healthCheckTask.executeTask()","0/59 * * * * ?","3","1","0","admin",9/6/2022 9:59:02 AM.430,"admin",9/6/2022 2:11:39 PM.743,""
