"sched_name","trigger_name","trigger_group","cron_expression","time_zone_id"
"IrtechScheduler","TASK_CLASS_NAME5","DEFAULT","0/10 * * * * ?","Asia/Bangkok"
"IrtechScheduler","TASK_CLASS_NAME6","DEFAULT","0/59 * * * * ?","Asia/Bangkok"
