"sched_name","trigger_name","trigger_group","job_name","job_group","description","next_fire_time","prev_fire_time","priority","trigger_state","trigger_type","start_time","end_time","calendar_name","misfire_instr","job_data"
"IrtechScheduler","TASK_CLASS_NAME5","DEFAULT","TASK_CLASS_NAME5","DEFAULT",,1662971640000,1662971630000,5,"WAITING","CRON",1662955869000,0,,2,""
"IrtechScheduler","TASK_CLASS_NAME6","DEFAULT","TASK_CLASS_NAME6","DEFAULT",,1662971639000,1662971580000,5,"ACQUIRED","CRON",1662955869000,0,,2,""
